FE24039264;24,72
FE24034605;15,08
FE24035022;20,04
FE24039848;19,69
FE24035757;17,36
FE24036166;4,37
FE24041334;75,02
FE24040012;21,95
FE24035157;27,1
FE24039693;33,84
FE24034513;16,72
FE24038692;20,1
FE24035074;18,39
FE24035008;9,44
FE24039495;25,02
FE24041408;22,92
FE24039246;20,69
FE24039326;26,26
FE24041345;1,57
FE24034964;14,7
FE24038200;4,76
FE24034641;22,88
FE24037066;14,9
FE24036726;12,79
FE24040148;16,53
FE24040384;78,32
FE24039762;5,46
FE24041392;1,29
FE24039739;11,88
FE24039841;12,61
FE24035764;98
FE24041385;20,5
FE24039879;12,64
FE24038722;27,1
FE24038354;10,37
FE24034528;16,08
FE24040582;15,44
FE24037906;11,94
FE24039005;21,84
FE24039437;18,69
FE24040662;52,9
FE24034460;98,77
FE24039186;100,45
FE24041336;12,27
FE24039372;56,4
FE24036643;25,6
FE24039339;22,54
FE24039537;18,31
FE24040475;17,24
FE24040793;59,36
FE24039946;14,58
FE24034593;11,17
FE24034889;27,82
FE24039017;17,1
FE24036709;39,93
FE24039624;22,57
FE24039210;23,46
FE24039149;61,24
FE24039342;24,53
FE24041134;41,75
FE24038750;39,29
FE24039637;38,25
FE24035224;6,41
FE24041002;20,87
FE24041173;19,38
FE24041289;15,69
FE24041496;7,03
FE24039579;27,5
FE24035264;10,03
FE24040150;13,5
FE24039298;33,38
FE24034577;24,68
FE24040769;34,06
FE24039910;4,37
FE24038373;10,41
FE24035557;57,05
FE24039865;14,24
FE24040153;8,11
FE24035495;10,31
FE24040883;27,24
FE24040529;12,45
FE24041494;21,27
FE24039753;24,81
FE24035594;13,83
FE24035349;14,68
FE24040324;13,42
FE24039667;12
FE24041308;11,8
FE24036044;4,69
FE24041433;1,28
FE24035556;10,31
FE24040120;17,84
FE24036009;20,93
FE24040857;150,61
FE24039499;22,06
FE24035089;19,4
FE24041374;20,32
FE24036693;9,43
FE24035287;20,67
FE24035644;20,46
FE24035572;16,24
FE24036919;8,12
FE24035997;16,92
FE24036303;5,88
FE24039128;83,07
FE24041396;27,83
FE24039558;26,72
FE24040486;11,41
FE24035597;14,31
FE24035313;17,06
FE24041432;9,95
FE24036426;10,31
FE24035645;23,6
FE24034944;27,71
FE24040878;25,3
FE24037074;24,68
FE24038155;22,58
FE24041441;4,03
FE24035708;48,56
FE24039625;26,5
FE24039084;26,67
FE24041310;21,9
FE24035143;18
FE24039295;11,25
FE24041266;19,44
FE24036579;25,36
FE24035413;42,87
FE24039918;36,64
FE24036672;8,64
FE24038883;5,28
FE24040188;16,53
FE24039448;32,69
FE24037539;29,09
FE24041109;266,35
FE24039259;24,56
FE24039843;8,8
FE24041449;8,93
FE24040606;19,88
FE24035662;18,86
FE24040420;8,11
FE24041196;22,34
FE24034817;32,75
FE24035736;60,66
FE24036048;10,35
FE24035625;19,36
FE24040079;16,53
FE24039191;36,91
FE24041450;142,25
FE24034529;24,51
FE24034477;19,8
FE24038212;48,39
FE24036740;5,78
FE24041271;24,83
FE24039516;29,74
FE24037717;18,86
FE24034578;11,01
FE24041146;147,58
FE24036542;54,66
FE24035286;18,86
FE24035210;43,63
FE24040429;10,31
FE24037894;21,26
FE24040452;45,77
FE24040803;63,74
FE24039407;20,13
FE24034888;44,44
FE24039320;53
FE24041431;7,03
FE24036307;8,49
FE24039791;21,61
FE24040728;18,54
FE24036771;11,64
FE24035773;31,04
FE24035108;16,58
FE24035150;5,54
FE24035739;16,95
FE24036491;18,72
FE24036356;13,31
FE24034919;14,77
FE24039651;32,91
FE24040246;10,78
FE24038053;9,74
FE24039569;2,83
FE24040546;5,76
FE24039882;27,33
FE24041437;2,03
FE24039094;42,12
FE24035151;26,17
FE24039959;10,32
FE24039192;18,53
FE24041281;10,45
FE24040661;26,79
FE24039137;104,53
FE24038116;25,14
FE24035075;24,54
FE24040281;27,73
FE24035489;9,72
FE24034558;23,1
FE24034512;28,41
FE24036292;18,92
FE24039669;56,33
FE24041046;4,3
FE24041305;13,84
FE24038924;12,26
FE24035697;45,52
FE24036591;38,72
FE24041424;25,34
FE24041420;153,32
FE24035200;5,63
FE24040164;8,11
FE24039296;27,19
FE24034894;3,91
FE24034936;21,3
FE24035936;56,49
FE24034643;21,54
FE24041346;33,5
FE24041357;2,32
FE24038770;18,53
FE24036457;17,61
FE24039837;14,34
FE24041401;41,77
FE24035553;20,53
FE24035545;13,46
FE24036454;12,26
FE24035007;19,94
FE24036433;22,08
FE24041086;19,08
FE24040840;6,62
FE24039383;22,97
FE24035652;198,29
FE24035391;17,8
FE24036907;28,45
FE24039054;40,27
FE24039604;12,71
FE24035758;22,39
FE24037527;16,79
FE24035734;44,95
FE24036583;10,55
FE24035511;23,32
FE24035586;23,01
