"﻿FE24039264";"24.72";"No trobada"
"FE24034605";"15.08";"Ja estava pagada"
"FE24035022";"20.04";"Ja estava pagada"
"FE24039848";"19.69";"Ja estava pagada"
"FE24035757";"17.36";"Ja estava pagada"
"FE24036166";"4.37";"Ja estava pagada"
"FE24041334";"75.02";"Ja estava pagada"
"FE24040012";"21.95";"Ja estava pagada"
"FE24035157";"27.1";"Ja estava pagada"
"FE24039693";"33.84";"Ja estava pagada"
"FE24034513";"16.72";"Ja estava pagada"
"FE24038692";"20.1";"Ja estava pagada"
"FE24035074";"18.39";"Ja estava pagada"
"FE24035008";"9.44";"Ja estava pagada"
"FE24039495";"25.02";"Ja estava pagada"
"FE24041408";"22.92";"Ja estava pagada"
"FE24039246";"20.69";"Ja estava pagada"
"FE24039326";"26.26";"Ja estava pagada"
"FE24041345";"1.57";"Ja estava pagada"
"FE24034964";"14.7";"Ja estava pagada"
"FE24038200";"4.76";"Ja estava pagada"
"FE24034641";"22.88";"Ja estava pagada"
"FE24037066";"14.9";"Ja estava pagada"
"FE24036726";"12.79";"Ja estava pagada"
"FE24040148";"16.53";"Ja estava pagada"
"FE24040384";"78.32";"Ja estava pagada"
"FE24039762";"5.46";"Ja estava pagada"
"FE24041392";"1.29";"Ja estava pagada"
"FE24039739";"11.88";"Ja estava pagada"
"FE24039841";"12.61";"Ja estava pagada"
"FE24035764";"98.0";"Ja estava pagada"
"FE24041385";"20.5";"Ja estava pagada"
"FE24039879";"12.64";"Ja estava pagada"
"FE24038722";"27.1";"Ja estava pagada"
"FE24038354";"10.37";"Ja estava pagada"
"FE24034528";"16.08";"Ja estava pagada"
"FE24040582";"15.44";"Ja estava pagada"
"FE24037906";"11.94";"Ja estava pagada"
"FE24039005";"21.84";"Ja estava pagada"
"FE24039437";"18.69";"Ja estava pagada"
"FE24040662";"52.9";"Ja estava pagada"
"FE24034460";"98.77";"Ja estava pagada"
"FE24039186";"100.45";"Ja estava pagada"
"FE24041336";"12.27";"Ja estava pagada"
"FE24039372";"56.4";"Ja estava pagada"
"FE24036643";"25.6";"Ja estava pagada"
"FE24039339";"22.54";"Ja estava pagada"
"FE24039537";"18.31";"Ja estava pagada"
"FE24040475";"17.24";"Ja estava pagada"
"FE24040793";"59.36";"Ja estava pagada"
"FE24039946";"14.58";"Ja estava pagada"
"FE24034593";"11.17";"Ja estava pagada"
"FE24034889";"27.82";"Ja estava pagada"
"FE24039017";"17.1";"Ja estava pagada"
"FE24036709";"39.93";"Ja estava pagada"
"FE24039624";"22.57";"Ja estava pagada"
"FE24039210";"23.46";"Ja estava pagada"
"FE24039149";"61.24";"Ja estava pagada"
"FE24039342";"24.53";"Ja estava pagada"
"FE24041134";"41.75";"Ja estava pagada"
"FE24038750";"39.29";"Ja estava pagada"
"FE24039637";"38.25";"Ja estava pagada"
"FE24035224";"6.41";"Ja estava pagada"
"FE24041002";"20.87";"Ja estava pagada"
"FE24041173";"19.38";"Ja estava pagada"
"FE24041289";"15.69";"Ja estava pagada"
"FE24041496";"7.03";"Ja estava pagada"
"FE24039579";"27.5";"Ja estava pagada"
"FE24035264";"10.03";"Ja estava pagada"
"FE24040150";"13.5";"Ja estava pagada"
"FE24039298";"33.38";"Ja estava pagada"
"FE24034577";"24.68";"Ja estava pagada"
"FE24040769";"34.06";"Ja estava pagada"
"FE24039910";"4.37";"Ja estava pagada"
"FE24038373";"10.41";"Ja estava pagada"
"FE24035557";"57.05";"Ja estava pagada"
"FE24039865";"14.24";"Ja estava pagada"
"FE24040153";"8.11";"Ja estava pagada"
"FE24035495";"10.31";"Ja estava pagada"
"FE24040883";"27.24";"Ja estava pagada"
"FE24040529";"12.45";"Ja estava pagada"
"FE24041494";"21.27";"Ja estava pagada"
"FE24039753";"24.81";"Ja estava pagada"
"FE24035594";"13.83";"Ja estava pagada"
"FE24035349";"14.68";"Ja estava pagada"
"FE24040324";"13.42";"Ja estava pagada"
"FE24039667";"12.0";"Ja estava pagada"
"FE24041308";"11.8";"Ja estava pagada"
"FE24036044";"4.69";"Ja estava pagada"
"FE24041433";"1.28";"Ja estava pagada"
"FE24035556";"10.31";"Ja estava pagada"
"FE24040120";"17.84";"Ja estava pagada"
"FE24036009";"20.93";"Ja estava pagada"
"FE24040857";"150.61";"Ja estava pagada"
"FE24039499";"22.06";"Ja estava pagada"
"FE24035089";"19.4";"Ja estava pagada"
"FE24041374";"20.32";"Ja estava pagada"
"FE24036693";"9.43";"Ja estava pagada"
"FE24035287";"20.67";"Ja estava pagada"
"FE24035644";"20.46";"Ja estava pagada"
"FE24035572";"16.24";"Ja estava pagada"
"FE24036919";"8.12";"Ja estava pagada"
"FE24035997";"16.92";"Ja estava pagada"
"FE24036303";"5.88";"Ja estava pagada"
